,Club,Date,Time,Round,Day,Venue,Result,GF,GA,Points,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
486,Newcastle United,2019-03-16,15:00,Matchweek 31,Sat,Away,D,2,2,1,Bournemouth,1.1,1.3,51,10625,Paul Dummett,5-4-1,Mike Dean
487,Newcastle United,2019-04-01,20:00,Matchweek 32,Mon,Away,L,0,2,0,Arsenal,0.1,0.8,30,59869,Jamaal Lascelles,5-4-1,Anthony Taylor
488,Newcastle United,2019-04-06,15:00,Matchweek 33,Sat,Home,L,0,1,0,Crystal Palace,0.9,0.9,53,51926,Jamaal Lascelles,5-4-1,Stuart Attwell
489,Newcastle United,2019-04-12,20:00,Matchweek 34,Fri,Away,W,1,0,3,Leicester City,1.1,1.0,29,32108,Jamaal Lascelles,5-4-1,Chris Kavanagh
490,Newcastle United,2019-04-20,17:30,Matchweek 35,Sat,Home,W,3,1,3,Southampton,1.4,1.2,44,52191,Jamaal Lascelles,5-4-1,Anthony Taylor
491,Newcastle United,2019-04-27,17:30,Matchweek 36,Sat,Away,D,1,1,1,Brighton,0.4,1.3,50,30587,Jonjo Shelvey,5-4-1,Mike Dean
492,Newcastle United,2019-05-04,19:45,Matchweek 37,Sat,Home,L,2,3,0,Liverpool,1.4,1.2,31,52206,Jamaal Lascelles,5-4-1,Andre Marriner
493,Newcastle United,2019-05-12,15:00,Matchweek 38,Sun,Away,W,4,0,3,Fulham,2.1,0.7,33,24979,Jamaal Lascelles,5-4-1,Kevin Friend
494,Bournemouth,2018-08-11,15:00,Matchweek 1,Sat,Home,W,2,0,3,Cardiff City,2.2,1.4,63,10353,Andrew Surman,4-4-2,Kevin Friend
495,Bournemouth,2018-08-18,15:00,Matchweek 2,Sat,Away,W,2,1,3,West Ham,1.3,1.2,39,56888,Andrew Surman,4-4-2,Stuart Attwell
496,Bournemouth,2018-08-25,15:00,Matchweek 3,Sat,Home,D,2,2,1,Everton,2.2,0.6,50,10654,Andrew Surman,4-4-2,Lee Probert
497,Bournemouth,2018-09-01,15:00,Matchweek 4,Sat,Away,L,0,2,0,Chelsea,0.9,1.1,28,40178,Simon Francis,3-4-3,Lee Mason
498,Bournemouth,2018-09-15,15:00,Matchweek 5,Sat,Home,W,4,2,3,Leicester City,2.3,2.3,47,10543,Steve Cook,4-4-2,Craig Pawson
499,Bournemouth,2018-09-22,15:00,Matchweek 6,Sat,Away,L,0,4,0,Burnley,1.0,2.1,62,18636,Andrew Surman,4-4-2,Anthony Taylor
500,Bournemouth,2018-10-01,20:00,Matchweek 7,Mon,Home,W,2,1,3,Crystal Palace,1.8,0.4,45,10199,Simon Francis,4-4-2,Mike Dean
501,Bournemouth,2018-10-06,15:00,Matchweek 8,Sat,Away,W,4,0,3,Watford,3.2,1.0,52,20139,Simon Francis,4-4-2,Jonathan Moss
502,Bournemouth,2018-10-20,15:00,Matchweek 9,Sat,Home,D,0,0,1,Southampton,0.9,0.5,58,10986,Simon Francis,4-4-2,Lee Probert
503,Bournemouth,2018-10-27,15:00,Matchweek 10,Sat,Away,W,3,0,3,Fulham,2.0,0.5,49,25071,Simon Francis,3-4-3,Andre Marriner
504,Bournemouth,2018-11-03,12:30,Matchweek 11,Sat,Home,L,1,2,0,Manchester Utd,1.6,3.0,49,10792,Simon Francis,4-4-1-1,Paul Tierney
505,Bournemouth,2018-11-10,15:00,Matchweek 12,Sat,Away,L,1,2,0,Newcastle Utd,1.6,2.2,60,49266,Simon Francis,4-4-1-1,Lee Probert
506,Bournemouth,2018-11-25,13:30,Matchweek 13,Sun,Home,L,1,2,0,Arsenal,0.6,1.6,42,10792,Simon Francis,4-4-2,Craig Pawson
507,Bournemouth,2018-12-01,15:00,Matchweek 14,Sat,Away,L,1,3,0,Manchester City,0.6,2.6,28,54409,Simon Francis,5-4-1,Stuart Attwell
508,Bournemouth,2018-12-04,19:45,Matchweek 15,Tue,Home,W,2,1,3,Huddersfield,0.9,1.8,33,9980,Simon Francis,4-4-2,Roger East
509,Bournemouth,2018-12-08,12:30,Matchweek 16,Sat,Home,L,0,4,0,Liverpool,0.3,1.6,41,10752,Simon Francis,4-4-2,Lee Mason
510,Bournemouth,2018-12-15,15:00,Matchweek 17,Sat,Away,L,0,2,0,Wolves,0.6,1.8,62,30997,Andrew Surman,3-4-3,Simon Hooper
511,Bournemouth,2018-12-22,15:00,Matchweek 18,Sat,Home,W,2,0,3,Brighton,0.8,0.8,57,10491,Simon Francis,4-4-2,Mike Dean
512,Bournemouth,2018-12-26,15:00,Matchweek 19,Wed,Away,L,0,5,0,Tottenham,1.1,1.7,44,45154,Simon Francis,4-1-4-1,Chris Kavanagh
513,Bournemouth,2018-12-30,16:30,Matchweek 20,Sun,Away,L,1,4,0,Manchester Utd,0.5,2.9,35,74556,Andrew Surman,3-5-2,Lee Mason
514,Bournemouth,2019-01-02,19:45,Matchweek 21,Wed,Home,D,3,3,1,Watford,2.2,0.9,57,10261,Steve Cook,4-4-2,David Coote
515,Bournemouth,2019-01-13,14:15,Matchweek 22,Sun,Away,L,0,2,0,Everton,1.9,1.0,49,38113,Steve Cook,4-4-1-1,Anthony Taylor
516,Bournemouth,2019-01-19,15:00,Matchweek 23,Sat,Home,W,2,0,3,West Ham,1.1,1.1,39,10495,Steve Cook,4-4-2,Simon Hooper
517,Bournemouth,2019-01-30,19:45,Matchweek 24,Wed,Home,W,4,0,3,Chelsea,2.0,0.7,32,10227,Andrew Surman,4-4-1-1,Roger East
518,Bournemouth,2019-02-02,17:30,Matchweek 25,Sat,Away,L,0,2,0,Cardiff City,0.5,2.1,73,31939,Andrew Surman,4-4-1-1,Jonathan Moss
519,Bournemouth,2019-02-09,15:00,Matchweek 26,Sat,Away,L,0,3,0,Liverpool,0.4,2.0,35,53178,Andrew Surman,4-5-1,Anthony Taylor
520,Bournemouth,2019-02-23,15:00,Matchweek 27,Sat,Home,D,1,1,1,Wolves,2.4,1.5,45,10671,Dan Gosling,4-4-1-1,Roger East
521,Bournemouth,2019-02-27,19:45,Matchweek 28,Wed,Away,L,1,5,0,Arsenal,0.9,2.5,36,59618,Andrew Surman,4-4-2,Chris Kavanagh
522,Bournemouth,2019-03-02,15:00,Matchweek 29,Sat,Home,L,0,1,0,Manchester City,0.0,1.2,19,10699,Andrew Surman,5-4-1,Kevin Friend
523,Bournemouth,2019-03-09,15:00,Matchweek 30,Sat,Away,W,2,0,3,Huddersfield,1.9,0.3,43,22304,Andrew Surman,4-4-2,Anthony Taylor
524,Bournemouth,2019-03-16,15:00,Matchweek 31,Sat,Home,D,2,2,1,Newcastle Utd,1.3,1.1,49,10625,Charlie Daniels,4-4-2,Mike Dean
525,Bournemouth,2019-03-30,15:00,Matchweek 32,Sat,Away,L,0,2,0,Leicester City,0.8,1.3,42,31530,Dan Gosling,4-4-2,Lee Mason
526,Bournemouth,2019-04-06,15:00,Matchweek 33,Sat,Home,L,1,3,0,Burnley,1.1,1.2,59,10446,Dan Gosling,4-4-2,Martin Atkinson
527,Bournemouth,2019-04-13,15:00,Matchweek 34,Sat,Away,W,5,0,3,Brighton,2.5,0.3,49,30460,Steve Cook,4-4-2,Kevin Friend
528,Bournemouth,2019-04-20,15:00,Matchweek 35,Sat,Home,L,0,1,0,Fulham,2.2,2.5,49,10511,Steve Cook,4-4-2,David Coote
529,Bournemouth,2019-04-27,15:00,Matchweek 36,Sat,Away,D,3,3,1,Southampton,2.3,2.5,56,31310,Steve Cook,5-3-2,Graham Scott
530,Bournemouth,2019-05-04,12:30,Matchweek 37,Sat,Home,W,1,0,3,Tottenham,1.7,0.7,53,10630,Steve Cook,4-4-1-1,Craig Pawson
531,Bournemouth,2019-05-12,15:00,Matchweek 38,Sun,Away,L,3,5,0,Crystal Palace,1.6,2.8,54,25433,Steve Cook,4-4-1-1,Roger East
532,Burnley,2018-08-12,13:30,Matchweek 1,Sun,Away,D,0,0,1,Southampton,1.4,1.1,52,30784,Ben Mee,4-4-1-1,Graham Scott
533,Burnley,2018-08-19,13:30,Matchweek 2,Sun,Home,L,1,3,0,Watford,0.6,1.5,58,18822,Ben Mee,4-4-1-1,Paul Tierney
534,Burnley,2018-08-26,16:00,Matchweek 3,Sun,Away,L,2,4,0,Fulham,1.5,1.3,37,23438,Ben Mee,4-4-1-1,David Coote
535,Burnley,2018-09-02,16:00,Matchweek 4,Sun,Home,L,0,2,0,Manchester Utd,0.8,2.5,47,21525,Ben Mee,4-4-1-1,Jonathan Moss
536,Burnley,2018-09-16,13:30,Matchweek 5,Sun,Away,L,0,1,0,Wolves,0.3,2.6,41,30406,Ben Mee,4-4-2,Andre Marriner
537,Burnley,2018-09-22,15:00,Matchweek 6,Sat,Home,W,4,0,3,Bournemouth,2.1,1.0,38,18636,Ben Mee,4-4-1-1,Anthony Taylor
538,Burnley,2018-09-30,16:00,Matchweek 7,Sun,Away,W,2,1,3,Cardiff City,0.3,1.7,46,30411,Ben Mee,4-4-1-1,Martin Atkinson
539,Burnley,2018-10-06,15:00,Matchweek 8,Sat,Home,D,1,1,1,Huddersfield,0.4,1.0,33,20533,Ben Mee,4-4-2,Chris Kavanagh
540,Burnley,2018-10-20,15:00,Matchweek 9,Sat,Away,L,0,5,0,Manchester City,0.4,4.0,31,54094,Ben Mee,4-4-1-1,Jonathan Moss
541,Burnley,2018-10-28,13:30,Matchweek 10,Sun,Home,L,0,4,0,Chelsea,0.4,2.6,31,21430,Ben Mee,4-4-1-1,Craig Pawson
542,Burnley,2018-11-03,15:00,Matchweek 11,Sat,Away,L,2,4,0,West Ham,1.1,2.4,37,56862,Ben Mee,4-4-1-1,Roger East
543,Burnley,2018-11-10,15:00,Matchweek 12,Sat,Away,D,0,0,1,Leicester City,0.4,1.8,38,32184,Ben Mee,4-4-2,Mike Dean
544,Burnley,2018-11-26,20:30,Matchweek 13,Mon,Home,L,1,2,0,Newcastle Utd,1.8,1.6,57,20628,Ben Mee,4-4-2,Anthony Taylor
545,Burnley,2018-12-01,15:00,Matchweek 14,Sat,Away,L,0,2,0,Crystal Palace,0.7,1.6,42,25098,Ben Mee,4-4-1-1,Lee Probert
546,Burnley,2018-12-05,19:45,Matchweek 15,Wed,Home,L,1,3,0,Liverpool,0.9,2.4,27,21741,Ben Mee,4-4-2,Stuart Attwell
547,Burnley,2018-12-08,15:00,Matchweek 16,Sat,Home,W,1,0,3,Brighton,1.4,1.0,38,18497,Ben Mee,4-4-2,Martin Atkinson
548,Burnley,2018-12-15,15:00,Matchweek 17,Sat,Away,L,0,1,0,Tottenham,0.5,1.7,30,41645,Ben Mee,5-4-1,Graham Scott
549,Burnley,2018-12-22,12:30,Matchweek 18,Sat,Away,L,1,3,0,Arsenal,1.2,1.6,40,59493,Ben Mee,5-3-2,Kevin Friend
550,Burnley,2018-12-26,15:00,Matchweek 19,Wed,Home,L,1,5,0,Everton,2.0,1.5,49,21484,Ben Mee,5-3-2,Michael Oliver
551,Burnley,2018-12-30,14:15,Matchweek 20,Sun,Home,W,2,0,3,West Ham,2.7,0.8,43,20933,Tom Heaton,4-4-2,David Coote
552,Burnley,2019-01-02,19:45,Matchweek 21,Wed,Away,W,2,1,3,Huddersfield,2.4,0.9,57,23715,Tom Heaton,4-4-2,Mike Dean
553,Burnley,2019-01-12,15:00,Matchweek 22,Sat,Home,W,2,1,3,Fulham,0.8,0.8,42,19316,Tom Heaton,4-4-2,Martin Atkinson
554,Burnley,2019-01-19,15:00,Matchweek 23,Sat,Away,D,0,0,1,Watford,1.8,1.3,46,19510,Tom Heaton,4-4-2,Michael Oliver
555,Burnley,2019-01-29,20:00,Matchweek 24,Tue,Away,D,2,2,1,Manchester Utd,0.8,3.1,27,74529,Tom Heaton,4-4-2,Jonathan Moss
556,Burnley,2019-02-02,15:00,Matchweek 25,Sat,Home,D,1,1,1,Southampton,2.4,0.7,55,19787,Tom Heaton,4-4-2,Anthony Taylor
557,Burnley,2019-02-09,17:30,Matchweek 26,Sat,Away,W,3,1,3,Brighton,2.1,1.1,32,29323,Tom Heaton,4-4-2,Stuart Attwell
558,Burnley,2019-02-23,12:30,Matchweek 27,Sat,Home,W,2,1,3,Tottenham,1.2,0.9,32,21338,Tom Heaton,4-4-2,Mike Dean
559,Burnley,2019-02-26,20:00,Matchweek 28,Tue,Away,L,0,2,0,Newcastle Utd,1.6,1.4,46,48323,Tom Heaton,4-4-2,Craig Pawson
560,Burnley,2019-03-02,15:00,Matchweek 29,Sat,Home,L,1,3,0,Crystal Palace,2.1,0.5,57,19223,Tom Heaton,4-4-2,Lee Probert
561,Burnley,2019-03-10,12:00,Matchweek 30,Sun,Away,L,2,4,0,Liverpool,0.4,4.0,33,53310,Tom Heaton,4-4-2,Andre Marriner
562,Burnley,2019-03-16,15:00,Matchweek 31,Sat,Home,L,1,2,0,Leicester City,1.0,0.9,62,20719,Tom Heaton,4-4-2,Michael Oliver
563,Burnley,2019-03-30,15:00,Matchweek 32,Sat,Home,W,2,0,3,Wolves,0.5,0.5,38,20990,Tom Heaton,4-4-2,Chris Kavanagh
564,Burnley,2019-04-06,15:00,Matchweek 33,Sat,Away,W,3,1,3,Bournemouth,1.2,1.1,41,10446,Tom Heaton,4-4-2,Martin Atkinson
565,Burnley,2019-04-13,15:00,Matchweek 34,Sat,Home,W,2,0,3,Cardiff City,2.6,0.9,47,21480,Tom Heaton,4-4-2,Mike Dean
566,Burnley,2019-04-22,20:00,Matchweek 35,Mon,Away,D,2,2,1,Chelsea,0.7,1.3,25,40642,Tom Heaton,4-4-2,Kevin Friend
567,Burnley,2019-04-28,14:05,Matchweek 36,Sun,Home,L,0,1,0,Manchester City,0.1,2.5,31,21605,Tom Heaton,4-4-2,Paul Tierney
568,Burnley,2019-05-03,20:00,Matchweek 37,Fri,Away,L,0,2,0,Everton,0.3,1.7,41,39303,Tom Heaton,4-4-2,Chris Kavanagh
569,Burnley,2019-05-12,15:00,Matchweek 38,Sun,Home,L,1,3,0,Arsenal,1.7,2.7,40,21461,Tom Heaton,4-4-2,Mike Dean
570,Southampton,2018-08-12,13:30,Matchweek 1,Sun,Home,D,0,0,1,Burnley,1.1,1.4,48,30784,Ryan Bertrand,3-4-3,Graham Scott
571,Southampton,2018-08-18,15:00,Matchweek 2,Sat,Away,L,1,2,0,Everton,1.7,1.5,43,38601,Ryan Bertrand,4-4-2,Lee Mason
572,Southampton,2018-08-25,15:00,Matchweek 3,Sat,Home,L,1,2,0,Leicester City,0.5,0.6,52,29925,Ryan Bertrand,4-4-2,Jonathan Moss
573,Southampton,2018-09-01,15:00,Matchweek 4,Sat,Away,W,2,0,3,Crystal Palace,2.7,2.4,50,25495,Ryan Bertrand,4-4-2,Martin Atkinson
574,Southampton,2018-09-17,20:00,Matchweek 5,Mon,Home,D,2,2,1,Brighton,2.0,1.4,51,28811,Ryan Bertrand,4-4-2,Anthony Taylor
575,Southampton,2018-09-22,15:00,Matchweek 6,Sat,Away,L,0,3,0,Liverpool,0.3,1.7,39,50965,Ryan Bertrand,4-1-4-1,Paul Tierney
576,Southampton,2018-09-29,15:00,Matchweek 7,Sat,Away,L,0,2,0,Wolves,0.8,1.6,51,31147,Ryan Bertrand,4-4-2,Stuart Attwell
577,Southampton,2018-10-07,14:15,Matchweek 8,Sun,Home,L,0,3,0,Chelsea,1.6,2.9,35,27077,Ryan Bertrand,3-4-3,Craig Pawson
578,Southampton,2018-10-20,15:00,Matchweek 9,Sat,Away,D,0,0,1,Bournemouth,0.5,0.9,42,10986,Ryan Bertrand,4-4-2,Lee Probert
579,Southampton,2018-10-27,15:00,Matchweek 10,Sat,Home,D,0,0,1,Newcastle Utd,1.1,0.4,50,30736,Ryan Bertrand,4-4-2,Chris Kavanagh
580,Southampton,2018-11-04,15:00,Matchweek 11,Sun,Away,L,1,6,0,Manchester City,2.0,2.2,34,53916,Ryan Bertrand,4-3-2-1,Lee Mason
581,Southampton,2018-11-10,15:00,Matchweek 12,Sat,Home,D,1,1,1,Watford,1.1,1.2,42,28153,Ryan Bertrand,4-2-3-1,Simon Hooper
582,Southampton,2018-11-24,15:00,Matchweek 13,Sat,Away,L,2,3,0,Fulham,1.3,1.3,62,24603,Pierre Højbjerg,4-2-3-1,Michael Oliver
583,Southampton,2018-12-01,17:30,Matchweek 14,Sat,Home,D,2,2,1,Manchester Utd,0.7,1.1,40,30187,Pierre Højbjerg,3-4-1-2,Kevin Friend
584,Southampton,2018-12-05,20:00,Matchweek 15,Wed,Away,L,1,3,0,Tottenham,1.7,1.6,48,33012,Steven Davis,4-2-3-1,Anthony Taylor
585,Southampton,2018-12-08,15:00,Matchweek 16,Sat,Away,L,0,1,0,Cardiff City,0.7,1.5,63,30067,Pierre Højbjerg,4-3-2-1,Jonathan Moss
586,Southampton,2018-12-16,13:30,Matchweek 17,Sun,Home,W,3,2,3,Arsenal,1.3,1.9,34,29497,Pierre Højbjerg,3-4-3,Chris Kavanagh
587,Southampton,2018-12-22,15:00,Matchweek 18,Sat,Away,W,3,1,3,Huddersfield,2.5,0.8,38,22384,Pierre Højbjerg,3-4-3,Stuart Attwell
588,Southampton,2018-12-27,19:45,Matchweek 19,Thu,Home,L,1,2,0,West Ham,1.2,1.2,46,31654,Oriol Romeu,3-4-3,Craig Pawson
589,Southampton,2018-12-30,14:15,Matchweek 20,Sun,Home,L,1,3,0,Manchester City,0.2,2.5,24,31381,Pierre Højbjerg,4-3-2-1,Paul Tierney
590,Southampton,2019-01-02,19:45,Matchweek 21,Wed,Away,D,0,0,1,Chelsea,0.2,0.9,29,40668,Oriol Romeu,5-4-1,Jonathan Moss
591,Southampton,2019-01-12,15:00,Matchweek 22,Sat,Away,W,2,1,3,Leicester City,1.5,1.7,29,31491,Oriol Romeu,3-4-3,Michael Oliver
592,Southampton,2019-01-19,15:00,Matchweek 23,Sat,Home,W,2,1,3,Everton,0.7,0.9,39,29989,Pierre Højbjerg,3-5-2,Graham Scott
593,Southampton,2019-01-30,19:45,Matchweek 24,Wed,Home,D,1,1,1,Crystal Palace,1.2,1.1,58,28339,Pierre Højbjerg,3-5-2,Andre Marriner
594,Southampton,2019-02-02,15:00,Matchweek 25,Sat,Away,D,1,1,1,Burnley,0.7,2.4,45,19787,Oriol Romeu,3-5-2,Anthony Taylor
595,Southampton,2019-02-09,15:00,Matchweek 26,Sat,Home,L,1,2,0,Cardiff City,1.5,0.8,66,31438,Pierre Højbjerg,3-5-2,Martin Atkinson
596,Southampton,2019-02-24,14:05,Matchweek 27,Sun,Away,L,0,2,0,Arsenal,0.8,2.1,38,59877,Pierre Højbjerg,3-5-1-1,Graham Scott
597,Southampton,2019-02-27,19:45,Matchweek 28,Wed,Home,W,2,0,3,Fulham,1.3,0.8,41,27597,Pierre Højbjerg,3-4-3,Anthony Taylor
598,Southampton,2019-03-02,15:00,Matchweek 29,Sat,Away,L,2,3,0,Manchester Utd,0.4,2.2,36,74459,Pierre Højbjerg,3-4-3,Stuart Attwell
599,Southampton,2019-03-09,15:00,Matchweek 30,Sat,Home,W,2,1,3,Tottenham,2.1,1.3,37,31890,Pierre Højbjerg,3-4-3,Kevin Friend
600,Southampton,2019-03-30,15:00,Matchweek 32,Sat,Away,W,1,0,3,Brighton,0.7,0.7,40,30636,Pierre Højbjerg,4-2-2-2,Michael Oliver
601,Southampton,2019-04-05,20:00,Matchweek 33,Fri,Home,L,1,3,0,Liverpool,0.9,1.9,33,31797,Pierre Højbjerg,3-4-3,Paul Tierney
602,Southampton,2019-04-13,15:00,Matchweek 34,Sat,Home,W,3,1,3,Wolves,2.9,0.8,31,31708,Pierre Højbjerg,3-4-3,Jonathan Moss
603,Southampton,2019-04-20,17:30,Matchweek 35,Sat,Away,L,1,3,0,Newcastle Utd,1.2,1.4,56,52191,Pierre Højbjerg,3-4-3,Anthony Taylor
604,Southampton,2019-04-23,19:45,Matchweek 31,Tue,Away,D,1,1,1,Watford,2.0,1.3,38,19170,Pierre Højbjerg,3-4-3,Mike Dean
605,Southampton,2019-04-27,15:00,Matchweek 36,Sat,Home,D,3,3,1,Bournemouth,2.5,2.3,44,31310,Pierre Højbjerg,4-3-3,Graham Scott
606,Southampton,2019-05-04,15:00,Matchweek 37,Sat,Away,L,0,3,0,West Ham,0.5,1.9,44,59961,Pierre Højbjerg,4-4-2,Stuart Attwell
607,Southampton,2019-05-12,15:00,Matchweek 38,Sun,Home,D,1,1,1,Huddersfield,0.6,0.7,53,30367,Pierre Højbjerg,4-4-2,Lee Probert
608,Brighton and Hove Albion,2018-08-11,15:00,Matchweek 1,Sat,Away,L,0,2,0,Watford,0.3,1.2,47,20051,Bruno,4-4-1-1,Jonathan Moss
609,Brighton and Hove Albion,2018-08-19,16:00,Matchweek 2,Sun,Home,W,3,2,3,Manchester Utd,1.7,1.4,34,30592,Lewis Dunk,4-4-1-1,Kevin Friend
610,Brighton and Hove Albion,2018-08-25,17:30,Matchweek 3,Sat,Away,L,0,1,0,Liverpool,0.6,1.6,31,53294,Dale Stephens,4-5-1,Chris Kavanagh
611,Brighton and Hove Albion,2018-09-01,15:00,Matchweek 4,Sat,Home,D,2,2,1,Fulham,2.8,1.6,42,30526,Lewis Dunk,4-4-1-1,Lee Probert
612,Brighton and Hove Albion,2018-09-17,20:00,Matchweek 5,Mon,Away,D,2,2,1,Southampton,1.4,2.0,49,28811,Lewis Dunk,4-1-4-1,Anthony Taylor
613,Brighton and Hove Albion,2018-09-22,17:30,Matchweek 6,Sat,Home,L,1,2,0,Tottenham,0.8,1.9,30,30531,Lewis Dunk,4-1-4-1,Chris Kavanagh
614,Brighton and Hove Albion,2018-09-29,15:00,Matchweek 7,Sat,Away,L,0,2,0,Manchester City,0.2,2.7,21,54152,Lewis Dunk,4-1-4-1,Lee Mason
615,Brighton and Hove Albion,2018-10-05,20:00,Matchweek 8,Fri,Home,W,1,0,3,West Ham,1.2,1.4,36,30544,Bruno,4-4-1-1,Kevin Friend
616,Brighton and Hove Albion,2018-10-20,15:00,Matchweek 9,Sat,Away,W,1,0,3,Newcastle Utd,0.8,1.8,33,50329,Bruno,4-4-1-1,Andre Marriner
617,Brighton and Hove Albion,2018-10-27,15:00,Matchweek 10,Sat,Home,W,1,0,3,Wolves,0.9,1.4,40,30654,Bruno,4-4-1-1,Anthony Taylor
618,Brighton and Hove Albion,2018-11-03,15:00,Matchweek 11,Sat,Away,L,1,3,0,Everton,0.5,2.0,39,38966,Bruno,4-4-1-1,David Coote
619,Brighton and Hove Albion,2018-11-10,12:30,Matchweek 12,Sat,Away,L,1,2,0,Cardiff City,0.5,2.1,40,29402,Lewis Dunk,4-4-1-1,Martin Atkinson
620,Brighton and Hove Albion,2018-11-24,15:00,Matchweek 13,Sat,Home,D,1,1,1,Leicester City,1.0,1.2,54,30553,Bruno,4-4-1-1,Chris Kavanagh
621,Brighton and Hove Albion,2018-12-01,15:00,Matchweek 14,Sat,Away,W,2,1,3,Huddersfield,1.2,0.6,67,22973,Bruno,4-3-3,Michael Oliver
622,Brighton and Hove Albion,2018-12-04,19:45,Matchweek 15,Tue,Home,W,3,1,3,Crystal Palace,1.3,1.7,32,29663,Lewis Dunk,4-3-3,Kevin Friend
623,Brighton and Hove Albion,2018-12-08,15:00,Matchweek 16,Sat,Away,L,0,1,0,Burnley,1.0,1.4,62,18497,Bruno,4-3-3,Martin Atkinson
624,Brighton and Hove Albion,2018-12-16,13:30,Matchweek 17,Sun,Home,L,1,2,0,Chelsea,0.4,1.2,43,30645,Lewis Dunk,4-4-1-1,Stuart Attwell
625,Brighton and Hove Albion,2018-12-22,15:00,Matchweek 18,Sat,Away,L,0,2,0,Bournemouth,0.8,0.8,43,10491,Lewis Dunk,4-1-4-1,Mike Dean
626,Brighton and Hove Albion,2018-12-26,17:15,Matchweek 19,Wed,Home,D,1,1,1,Arsenal,1.1,0.8,33,30608,Dale Stephens,4-5-1,Anthony Taylor
627,Brighton and Hove Albion,2018-12-29,15:00,Matchweek 20,Sat,Home,W,1,0,3,Everton,1.1,0.7,46,30597,Lewis Dunk,4-5-1,Andy Madley
628,Brighton and Hove Albion,2019-01-02,19:45,Matchweek 21,Wed,Away,D,2,2,1,West Ham,0.7,0.8,45,59870,Lewis Dunk,4-5-1,Chris Kavanagh
629,Brighton and Hove Albion,2019-01-12,15:00,Matchweek 22,Sat,Home,L,0,1,0,Liverpool,0.4,2.0,30,30682,Lewis Dunk,4-5-1,Kevin Friend
630,Brighton and Hove Albion,2019-01-19,15:00,Matchweek 23,Sat,Away,L,1,2,0,Manchester Utd,0.8,2.4,44,74532,Lewis Dunk,4-5-1,Paul Tierney
631,Brighton and Hove Albion,2019-01-29,19:45,Matchweek 24,Tue,Away,L,2,4,0,Fulham,2.2,3.3,39,22008,Lewis Dunk,4-3-3,Lee Probert
632,Brighton and Hove Albion,2019-02-02,15:00,Matchweek 25,Sat,Home,D,0,0,1,Watford,1.6,0.3,55,30414,Lewis Dunk,4-3-3,Simon Hooper
633,Brighton and Hove Albion,2019-02-09,17:30,Matchweek 26,Sat,Home,L,1,3,0,Burnley,1.1,2.1,68,29323,Lewis Dunk,4-3-3,Stuart Attwell
634,Brighton and Hove Albion,2019-02-26,19:45,Matchweek 28,Tue,Away,L,1,2,0,Leicester City,1.2,1.8,51,30558,Lewis Dunk,4-3-3,Lee Probert
635,Brighton and Hove Albion,2019-03-02,15:00,Matchweek 29,Sat,Home,W,1,0,3,Huddersfield,1.2,0.2,54,30182,Lewis Dunk,4-3-3,Mike Dean
636,Brighton and Hove Albion,2019-03-09,12:30,Matchweek 30,Sat,Away,W,2,1,3,Crystal Palace,0.2,1.5,38,24972,Lewis Dunk,4-5-1,Craig Pawson
637,Brighton and Hove Albion,2019-03-30,15:00,Matchweek 32,Sat,Home,L,0,1,0,Southampton,0.7,0.7,60,30636,Lewis Dunk,4-3-3,Michael Oliver
638,Brighton and Hove Albion,2019-04-03,19:45,Matchweek 27,Wed,Away,L,0,3,0,Chelsea,0.4,2.7,32,38593,Bruno,4-3-3,Graham Scott
639,Brighton and Hove Albion,2019-04-13,15:00,Matchweek 34,Sat,Home,L,0,5,0,Bournemouth,0.3,2.5,51,30460,Lewis Dunk,4-3-3,Kevin Friend
640,Brighton and Hove Albion,2019-04-16,19:45,Matchweek 31,Tue,Home,L,0,2,0,Cardiff City,0.6,0.9,64,30226,Bruno,4-2-3-1,Andre Marriner
641,Brighton and Hove Albion,2019-04-20,15:00,Matchweek 35,Sat,Away,D,0,0,1,Wolves,0.2,2.7,32,31096,Bruno,4-3-3,Craig Pawson
642,Brighton and Hove Albion,2019-04-23,19:45,Matchweek 33,Tue,Away,L,0,1,0,Tottenham,0.3,1.3,23,56251,Lewis Dunk,4-3-3,Chris Kavanagh
643,Brighton and Hove Albion,2019-04-27,17:30,Matchweek 36,Sat,Home,D,1,1,1,Newcastle Utd,1.3,0.4,50,30587,Bruno,4-4-2,Mike Dean
644,Brighton and Hove Albion,2019-05-05,16:30,Matchweek 37,Sun,Away,D,1,1,1,Arsenal,1.9,2.4,30,59965,Bruno,4-5-1,Anthony Taylor
645,Brighton and Hove Albion,2019-05-12,15:00,Matchweek 38,Sun,Home,L,1,4,0,Manchester City,0.5,1.6,25,30662,Bruno,4-5-1,Michael Oliver
646,Cardiff City,2018-08-11,15:00,Matchweek 1,Sat,Away,L,0,2,0,Bournemouth,1.4,2.2,37,10353,Sean Morrison,4-1-4-1,Kevin Friend
647,Cardiff City,2018-08-18,12:30,Matchweek 2,Sat,Home,D,0,0,1,Newcastle Utd,0.9,1.6,51,30720,Sean Morrison,4-3-3,Craig Pawson
648,Cardiff City,2018-08-25,15:00,Matchweek 3,Sat,Away,D,0,0,1,Huddersfield,0.9,0.2,43,21193,Sean Morrison,4-1-4-1,Michael Oliver
