Player,Team,Position,Fee,Season,Transfer
Ángelo Henríquez,Manchester United,Centre-Forward,0.0,2014/2015,Arrival
Nick Powell,Manchester United,Attacking Midfield,0.0,2014/2015,Arrival
Anderson,Manchester United,Central Midfield,0.0,2014/2015,Arrival
Wilfried Zaha,Manchester United,Left Winger,0.0,2014/2015,Arrival
Tom Cleverley,Manchester United,Central Midfield,0.0,2014/2015,Arrival
James Wilson,Manchester United,Centre-Forward,0.0,2014/2015,Arrival
Paddy McNair,Manchester United,Centre-Back,0.0,2014/2015,Arrival
Tyler Blackett,Manchester United,Left-Back,0.0,2014/2015,Arrival
Jesse Lingard,Manchester United,Attacking Midfield,0.0,2014/2015,Arrival
Víctor Valdés,Manchester United,Goalkeeper,0.0,2014/2015,Arrival
Will Keane,Manchester United,Centre-Forward,0.0,2013/2014,Arrival
Davide Petrucci,Manchester United,Central Midfield,0.0,2013/2014,Arrival
Davide Petrucci,Manchester United,Central Midfield,0.0,2013/2014,Arrival
Tom Thorpe,Manchester United,Centre-Back,0.0,2013/2014,Arrival
Sam Johnstone,Manchester United,Goalkeeper,0.0,2013/2014,Arrival
Sam Johnstone,Manchester United,Goalkeeper,0.0,2013/2014,Arrival
Reece Brown,Manchester United,Centre-Back,0.0,2012/2013,Departure
Davide Petrucci,Manchester United,Central Midfield,0.0,2012/2013,Departure
Sam Johnstone,Manchester United,Goalkeeper,0.0,2012/2013,Departure
Sam Johnstone,Manchester United,Goalkeeper,0.0,2016/2017,Departure
Cameron Borthwick-Jackson,Manchester United,Left-Back,0.0,2018/2019,Departure
Timothy Fosu-Mensah,Manchester United,Right-Back,0.0,2018/2019,Departure
Axel Tuanzebe,Manchester United,Right-Back,0.0,2017/2018,Departure
Sam Johnstone,Manchester United,Goalkeeper,0.0,2017/2018,Departure
James Wilson,Manchester United,Centre-Forward,0.0,2017/2018,Departure
Timothy Fosu-Mensah,Manchester United,Right-Back,0.0,2017/2018,Departure
Guillermo Varela,Manchester United,Right-Back,0.0,2017/2018,Departure
Zlatan Ibrahimović,Manchester United,Centre-Forward,0.0,2017/2018,Departure
Wayne Rooney,Manchester United,Centre-Forward,0.0,2017/2018,Departure
Guillermo Varela,Manchester United,Right-Back,0.0,2016/2017,Departure
James Wilson,Manchester United,Centre-Forward,0.0,2015/2016,Departure
Andreas Pereira,Manchester United,Attacking Midfield,0.0,2016/2017,Departure
James Wilson,Manchester United,Centre-Forward,0.0,2016/2017,Departure
Adnan Januzaj,Manchester United,Right Winger,0.0,2016/2017,Departure
Nick Powell,Manchester United,Attacking Midfield,0.0,2016/2017,Departure
Víctor Valdés,Manchester United,Goalkeeper,0.0,2016/2017,Departure
Bastian Schweinsteiger,Manchester United,Central Midfield,0.0,2016/2017,Departure
Radamel Falcao,Manchester United,Centre-Forward,0.0,2015/2016,Departure
Sam Johnstone,Manchester United,Goalkeeper,0.0,2015/2016,Departure
Will Keane,Manchester United,Centre-Forward,0.0,2015/2016,Departure
James Wilson,Manchester United,Centre-Forward,0.0,2018/2019,Departure
Joel Pereira,Manchester United,Goalkeeper,0.0,2018/2019,Departure
Joel Pereira,Manchester United,Goalkeeper,0.0,2018/2019,Departure
Axel Tuanzebe,Manchester United,Right-Back,0.0,2018/2019,Departure
Conor Clifford,Chelsea,Central Midfield,0.0,2012/2013,Arrival
Conor Clifford,Chelsea,Central Midfield,0.0,2012/2013,Arrival
Sam Hutchinson,Chelsea,Defensive Midfield,0.0,2012/2013,Arrival
Matej Delac,Chelsea,Goalkeeper,0.0,2012/2013,Arrival
Amin Affane,Chelsea,Attacking Midfield,0.0,2012/2013,Arrival
Matej Delac,Chelsea,Goalkeeper,0.0,2012/2013,Arrival
Ulises Dávila,Chelsea,Attacking Midfield,0.0,2012/2013,Arrival
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.0,2012/2013,Arrival
Yossi Benayoun,Chelsea,Right Winger,0.0,2012/2013,Arrival
Gaël Kakuta,Chelsea,Attacking Midfield,0.0,2012/2013,Arrival
Josh McEachran,Chelsea,Central Midfield,0.0,2012/2013,Arrival
Kevin De Bruyne,Chelsea,Attacking Midfield,0.0,2012/2013,Arrival
Romelu Lukaku,Chelsea,Centre-Forward,0.0,2012/2013,Arrival
Nathan Aké,Chelsea,Centre-Back,0.0,2012/2013,Arrival
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.0,2012/2013,Arrival
Todd Kane,Chelsea,Right-Back,0.0,2012/2013,Arrival
Anjur Osmanovic,Chelsea,Central Midfield,0.0,2012/2013,Arrival
Lamisha Musonda,Chelsea,Central Midfield,0.0,2012/2013,Arrival
Michael Carrick,Manchester United,Defensive Midfield,0.0,2018/2019,Departure
Tyler Blackett,Manchester United,Left-Back,0.0,2015/2016,Departure
Nick Powell,Manchester United,Attacking Midfield,0.0,2015/2016,Departure
Michael Owen,Manchester United,Centre-Forward,0.0,2012/2013,Departure
Sam Johnstone,Manchester United,Goalkeeper,0.0,2013/2014,Departure
Nemanja Vidic‎,Manchester United,Centre-Back,0.0,2014/2015,Departure
Paul Scholes,Manchester United,Central Midfield,0.0,2013/2014,Departure
Will Keane,Manchester United,Centre-Forward,0.0,2013/2014,Departure
Davide Petrucci,Manchester United,Central Midfield,0.0,2013/2014,Departure
Marnick Vermijl,Manchester United,Left-Back,0.0,2013/2014,Departure
Will Keane,Manchester United,Centre-Forward,0.0,2013/2014,Departure
Davide Petrucci,Manchester United,Central Midfield,0.0,2013/2014,Departure
Tom Thorpe,Manchester United,Centre-Back,0.0,2013/2014,Departure
Sam Johnstone,Manchester United,Goalkeeper,0.0,2013/2014,Departure
Bebé,Manchester United,Left Winger,0.0,2013/2014,Departure
Víctor Valdés,Manchester United,Goalkeeper,0.0,2015/2016,Departure
Ben Amos,Manchester United,Goalkeeper,0.0,2013/2014,Departure
Federico Macheda,Manchester United,Centre-Forward,0.0,2013/2014,Departure
Federico Macheda,Manchester United,Centre-Forward,0.0,2013/2014,Departure
Ángelo Henríquez,Manchester United,Centre-Forward,0.0,2013/2014,Departure
Nick Powell,Manchester United,Attacking Midfield,0.0,2013/2014,Departure
Anderson,Manchester United,Central Midfield,0.0,2013/2014,Departure
Frédéric Veseli,Manchester United,Right-Back,0.0,2013/2014,Departure
Reece Brown,Manchester United,Centre-Back,0.0,2013/2014,Departure
Fábio,Manchester United,Right-Back,0.0,2013/2014,Departure
Anderson,Manchester United,Central Midfield,0.0,2014/2015,Departure
Darren Fletcher,Manchester United,Central Midfield,0.0,2014/2015,Departure
Rio Ferdinand,Manchester United,Centre-Back,0.0,2014/2015,Departure
Federico Macheda,Manchester United,Centre-Forward,0.0,2014/2015,Departure
Adnan Januzaj,Manchester United,Right Winger,0.0,2015/2016,Departure
Tom Thorpe,Manchester United,Centre-Back,0.0,2015/2016,Departure
Vanja Milinković-Savić,Manchester United,Goalkeeper,0.0,2015/2016,Departure
Ben Amos,Manchester United,Goalkeeper,0.0,2015/2016,Departure
Anders Lindegaard,Manchester United,Goalkeeper,0.0,2015/2016,Departure
Tom Cleverley,Manchester United,Central Midfield,0.0,2015/2016,Departure
Ryan Giggs,Manchester United,Left Midfield,0.0,2014/2015,Departure
Vanja Milinković-Savić,Manchester United,Goalkeeper,0.0,2014/2015,Departure
Sam Johnstone,Manchester United,Goalkeeper,0.0,2014/2015,Departure
Sam Johnstone,Manchester United,Goalkeeper,0.0,2014/2015,Departure
Will Keane,Manchester United,Centre-Forward,0.0,2014/2015,Departure
Jesse Lingard,Manchester United,Attacking Midfield,0.0,2014/2015,Departure
Ben Amos,Manchester United,Goalkeeper,0.0,2014/2015,Departure
Nick Powell,Manchester United,Attacking Midfield,0.0,2014/2015,Departure
Wilfried Zaha,Manchester United,Left Winger,0.0,2014/2015,Departure
Tom Cleverley,Manchester United,Central Midfield,0.0,2014/2015,Departure
Nani,Manchester United,Left Winger,0.0,2014/2015,Departure
Marnick Vermijl,Manchester United,Left-Back,0.0,2014/2015,Departure
Davide Petrucci,Manchester United,Central Midfield,0.0,2014/2015,Departure
Ovie Ejaria,Liverpool,Left Midfield,0.0,2018/2019,Departure
Ádám Bogdán,Liverpool,Goalkeeper,0.0,2018/2019,Departure
Nico Yennaris,Arsenal,Defensive Midfield,0.0,2013/2014,Arrival
Alexander Manninger,Liverpool,Goalkeeper,0.0,2016/2017,Arrival
Marko Grujic,Liverpool,Defensive Midfield,0.0,2016/2017,Arrival
Mario Balotelli,Liverpool,Centre-Forward,0.0,2016/2017,Arrival
Lazar Markovic,Liverpool,Right Winger,0.0,2016/2017,Arrival
Mamadou Sakho,Liverpool,Centre-Back,0.0,2016/2017,Arrival
Lazar Markovic,Liverpool,Right Winger,0.0,2016/2017,Arrival
Lazar Markovic,Liverpool,Right Winger,0.0,2016/2017,Arrival
Ben Woodburn,Liverpool,Attacking Midfield,0.0,2016/2017,Arrival
Trent Alexander-Arnold,Liverpool,Right-Back,0.0,2016/2017,Arrival
Ovie Ejaria,Liverpool,Left Midfield,0.0,2016/2017,Arrival
Joel Matip,Liverpool,Centre-Back,0.0,2016/2017,Arrival
Jon Flanagan,Liverpool,Right-Back,0.0,2016/2017,Arrival
Kevin Stewart,Liverpool,Defensive Midfield,0.0,2015/2016,Arrival
Lawrence Vigouroux,Liverpool,Goalkeeper,0.0,2015/2016,Arrival
Danny Ward,Liverpool,Goalkeeper,0.0,2015/2016,Arrival
Sheyi Ojo,Liverpool,Right Winger,0.0,2015/2016,Arrival
Rafa Páez,Liverpool,Centre-Back,0.0,2015/2016,Arrival
Luis Alberto,Liverpool,Central Midfield,0.0,2015/2016,Arrival
Tiago Ilori,Liverpool,Centre-Back,0.0,2015/2016,Arrival
Tiago Ilori,Liverpool,Centre-Back,0.0,2015/2016,Arrival
Andre Wisdom,Liverpool,Right-Back,0.0,2015/2016,Arrival
Luis Alberto,Liverpool,Central Midfield,0.0,2016/2017,Arrival
Ádám Bogdán,Liverpool,Goalkeeper,0.0,2016/2017,Arrival
Taiwo Awoniyi,Liverpool,Centre-Forward,0.0,2018/2019,Departure
Taiwo Awoniyi,Liverpool,Centre-Forward,0.0,2017/2018,Arrival
Taiwo Awoniyi,Liverpool,Centre-Forward,0.0,2018/2019,Arrival
Ryan Kent,Liverpool,Left Winger,0.0,2018/2019,Arrival
Ben Woodburn,Liverpool,Attacking Midfield,0.0,2018/2019,Arrival
Harry Wilson,Liverpool,Right Winger,0.0,2018/2019,Arrival
Lazar Markovic,Liverpool,Right Winger,0.0,2018/2019,Arrival
Divock Origi,Liverpool,Centre-Forward,0.0,2018/2019,Arrival
Nathaniel Clyne,Liverpool,Right-Back,0.0,2018/2019,Arrival
Harry Wilson,Liverpool,Right Winger,0.0,2018/2019,Arrival
Ryan Kent,Liverpool,Left Winger,0.0,2018/2019,Arrival
Connor Randall,Liverpool,Right-Back,0.0,2017/2018,Arrival
Danny Ward,Liverpool,Goalkeeper,0.0,2016/2017,Arrival
Ovie Ejaria,Liverpool,Left Midfield,0.0,2017/2018,Arrival
Sheyi Ojo,Liverpool,Right Winger,0.0,2017/2018,Arrival
Jon Flanagan,Liverpool,Right-Back,0.0,2017/2018,Arrival
Andre Wisdom,Liverpool,Right-Back,0.0,2017/2018,Arrival
Marko Grujic,Liverpool,Defensive Midfield,0.0,2017/2018,Arrival
Daniel Sturridge,Liverpool,Centre-Forward,0.0,2017/2018,Arrival
Dominic Solanke,Liverpool,Centre-Forward,0.0,2017/2018,Arrival
Taiwo Awoniyi,Liverpool,Centre-Forward,0.0,2016/2017,Arrival
Samed Yesil,Liverpool,Centre-Forward,0.0,2016/2017,Arrival
Iago Aspas,Liverpool,Centre-Forward,0.0,2015/2016,Arrival
Divock Origi,Liverpool,Centre-Forward,0.0,2015/2016,Arrival
Connor Randall,Liverpool,Right-Back,0.0,2015/2016,Arrival
Jamie Stephens,Liverpool,Goalkeeper,0.0,2012/2013,Arrival
Dani Pacheco,Liverpool,Defensive Midfield,0.0,2013/2014,Arrival
Jack Robinson,Liverpool,Centre-Back,0.0,2013/2014,Arrival
Andre Wisdom,Liverpool,Right-Back,0.0,2013/2014,Arrival
Fabio Borini,Liverpool,Left Winger,0.0,2013/2014,Arrival
Krisztián Adorján,Liverpool,Attacking Midfield,0.0,2013/2014,Arrival
Craig Roddan,Liverpool,Central Midfield,0.0,2013/2014,Arrival
Jordon Ibe,Liverpool,Right Winger,0.0,2013/2014,Arrival
Kolo Touré,Liverpool,Centre-Back,0.0,2013/2014,Arrival
Jack Robinson,Liverpool,Centre-Back,0.0,2012/2013,Arrival
Dani Pacheco,Liverpool,Defensive Midfield,0.0,2012/2013,Arrival
Brad Smith,Liverpool,Left-Back,0.0,2015/2016,Arrival
Danny Wilson,Liverpool,Centre-Back,0.0,2012/2013,Arrival
Danny Wilson,Liverpool,Centre-Back,0.0,2012/2013,Arrival
Jay Spearing,Liverpool,Defensive Midfield,0.0,2012/2013,Arrival
Joe Cole,Liverpool,Attacking Midfield,0.0,2012/2013,Arrival
Alberto Aquilani,Liverpool,Central Midfield,0.0,2012/2013,Arrival
Andy Carroll,Liverpool,Centre-Forward,0.0,2012/2013,Arrival
Tom King,Liverpool,Centre-Back,0.0,2012/2013,Arrival
Raheem Sterling,Liverpool,Left Winger,0.0,2012/2013,Arrival
Suso,Liverpool,Right Winger,0.0,2012/2013,Arrival
Jordon Ibe,Liverpool,Right Winger,0.0,2013/2014,Arrival
Craig Roddan,Liverpool,Central Midfield,0.0,2013/2014,Arrival
Craig Roddan,Liverpool,Central Midfield,0.0,2013/2014,Arrival
Kevin Stewart,Liverpool,Defensive Midfield,0.0,2014/2015,Arrival
Sheyi Ojo,Liverpool,Right Winger,0.0,2015/2016,Arrival
Steven Caulker,Liverpool,Centre-Back,0.0,2015/2016,Arrival
Ádám Bogdán,Liverpool,Goalkeeper,0.0,2015/2016,Arrival
James Milner,Liverpool,Central Midfield,0.0,2015/2016,Arrival
Kevin Stewart,Liverpool,Defensive Midfield,0.0,2014/2015,Arrival
Kevin Stewart,Liverpool,Defensive Midfield,0.0,2014/2015,Arrival
Danny Ward,Liverpool,Goalkeeper,0.0,2014/2015,Arrival
Jordon Ibe,Liverpool,Right Winger,0.0,2014/2015,Arrival
Krisztián Adorján,Liverpool,Attacking Midfield,0.0,2014/2015,Arrival
Rafa Páez,Liverpool,Centre-Back,0.0,2014/2015,Arrival
Sebastián Coates,Liverpool,Centre-Back,0.0,2014/2015,Arrival
Sebastián Coates,Liverpool,Centre-Back,0.0,2014/2015,Arrival
Tiago Ilori,Liverpool,Centre-Back,0.0,2014/2015,Arrival
Suso,Liverpool,Right Winger,0.0,2014/2015,Arrival
Oussama Assaidi,Liverpool,Left Winger,0.0,2014/2015,Arrival
Andre Wisdom,Liverpool,Right-Back,0.0,2014/2015,Arrival
Pepe Reina,Liverpool,Goalkeeper,0.0,2014/2015,Arrival
Rafa Páez,Liverpool,Centre-Back,0.0,2014/2015,Arrival
Lawrence Vigouroux,Liverpool,Goalkeeper,0.0,2014/2015,Arrival
Taiwo Awoniyi,Liverpool,Centre-Forward,0.0,2018/2019,Arrival
Ovie Ejaria,Liverpool,Left Midfield,0.0,2018/2019,Arrival
Ovie Ejaria,Liverpool,Left Midfield,0.0,2018/2019,Arrival
Kevin Stewart,Liverpool,Defensive Midfield,0.0,2015/2016,Departure
Lazar Markovic,Liverpool,Right Winger,0.0,2016/2017,Departure
Lazar Markovic,Liverpool,Right Winger,0.0,2016/2017,Departure
Kolo Touré,Liverpool,Centre-Back,0.0,2016/2017,Departure
Mario Balotelli,Liverpool,Centre-Forward,0.0,2016/2017,Departure
Javier Manquillo,Liverpool,Right-Back,0.0,2015/2016,Departure
Steven Caulker,Liverpool,Centre-Back,0.0,2015/2016,Departure
José Enrique,Liverpool,Left-Back,0.0,2015/2016,Departure
Taiwo Awoniyi,Liverpool,Centre-Forward,0.0,2015/2016,Departure
Lawrence Vigouroux,Liverpool,Goalkeeper,0.0,2015/2016,Departure
Danny Ward,Liverpool,Goalkeeper,0.0,2015/2016,Departure
Craig Roddan,Liverpool,Central Midfield,0.0,2014/2015,Departure
Sheyi Ojo,Liverpool,Right Winger,0.0,2015/2016,Departure
Samed Yesil,Liverpool,Centre-Forward,0.0,2015/2016,Departure
Luis Alberto,Liverpool,Central Midfield,0.0,2015/2016,Departure
Mario Balotelli,Liverpool,Centre-Forward,0.0,2015/2016,Departure
Lazar Markovic,Liverpool,Right Winger,0.0,2015/2016,Departure
Rafa Páez,Liverpool,Centre-Back,0.0,2015/2016,Departure
Brad Jones,Liverpool,Goalkeeper,0.0,2015/2016,Departure
Steven Gerrard,Liverpool,Central Midfield,0.0,2015/2016,Departure
Glen Johnson,Liverpool,Right-Back,0.0,2015/2016,Departure
Jon Flanagan,Liverpool,Right-Back,0.0,2016/2017,Departure
Andre Wisdom,Liverpool,Right-Back,0.0,2016/2017,Departure
Ádám Bogdán,Liverpool,Goalkeeper,0.0,2016/2017,Departure
Danny Ward,Liverpool,Goalkeeper,0.0,2016/2017,Departure
Taiwo Awoniyi,Liverpool,Centre-Forward,0.0,2018/2019,Departure
Ryan Kent,Liverpool,Left Winger,0.0,2018/2019,Departure
Sheyi Ojo,Liverpool,Right Winger,0.0,2018/2019,Departure
Ben Woodburn,Liverpool,Attacking Midfield,0.0,2018/2019,Departure
Danny Ings,Liverpool,Centre-Forward,0.0,2018/2019,Departure
Nathaniel Clyne,Liverpool,Right-Back,0.0,2018/2019,Departure
Jon Flanagan,Liverpool,Right-Back,0.0,2018/2019,Departure
Lazar Markovic,Liverpool,Right Winger,0.0,2018/2019,Departure
Emre Can,Liverpool,Defensive Midfield,0.0,2018/2019,Departure
Alexander Manninger,Liverpool,Goalkeeper,0.0,2017/2018,Departure
Taiwo Awoniyi,Liverpool,Centre-Forward,0.0,2017/2018,Departure
Ovie Ejaria,Liverpool,Left Midfield,0.0,2017/2018,Departure
Connor Randall,Liverpool,Right-Back,0.0,2017/2018,Departure
Sheyi Ojo,Liverpool,Right Winger,0.0,2017/2018,Departure
Jon Flanagan,Liverpool,Right-Back,0.0,2017/2018,Departure
Marko Grujic,Liverpool,Defensive Midfield,0.0,2017/2018,Departure
Lazar Markovic,Liverpool,Right Winger,0.0,2017/2018,Departure
Samed Yesil,Liverpool,Centre-Forward,0.0,2016/2017,Departure
Taiwo Awoniyi,Liverpool,Centre-Forward,0.0,2016/2017,Departure
Aly Cissokho,Liverpool,Centre-Back,0.0,2014/2015,Departure
Kevin Stewart,Liverpool,Defensive Midfield,0.0,2014/2015,Departure
Ádám Bogdán,Liverpool,Goalkeeper,0.0,2018/2019,Arrival
Danny Wilson,Liverpool,Centre-Back,0.0,2012/2013,Departure
Tom King,Liverpool,Centre-Back,0.0,2013/2014,Departure
Jamie Stephens,Liverpool,Goalkeeper,0.0,2013/2014,Departure
Péter Gulácsi,Liverpool,Goalkeeper,0.0,2013/2014,Departure
Dani Pacheco,Liverpool,Defensive Midfield,0.0,2013/2014,Departure
Danny Wilson,Liverpool,Centre-Back,0.0,2013/2014,Departure
Nuri Şahin,Liverpool,Defensive Midfield,0.0,2012/2013,Departure
Jack Robinson,Liverpool,Centre-Back,0.0,2012/2013,Departure
Jamie Stephens,Liverpool,Goalkeeper,0.0,2012/2013,Departure
Dani Pacheco,Liverpool,Defensive Midfield,0.0,2012/2013,Departure
Danny Wilson,Liverpool,Centre-Back,0.0,2012/2013,Departure
Kevin Stewart,Liverpool,Defensive Midfield,0.0,2014/2015,Departure
Jay Spearing,Liverpool,Defensive Midfield,0.0,2012/2013,Departure
Lewis Hatch,Liverpool,Central Midfield,0.0,2012/2013,Departure
Nathan Eccleston,Liverpool,Centre-Forward,0.0,2012/2013,Departure
Stephen Darby,Liverpool,Right-Back,0.0,2012/2013,Departure
Doni,Liverpool,Goalkeeper,0.0,2012/2013,Departure
Craig Bellamy,Liverpool,Left Winger,0.0,2012/2013,Departure
Maxi Rodríguez,Liverpool,Left Winger,0.0,2012/2013,Departure
Joe Cole,Liverpool,Attacking Midfield,0.0,2012/2013,Departure
Connor Randall,Liverpool,Right-Back,0.0,2018/2019,Arrival
Pepe Reina,Liverpool,Goalkeeper,0.0,2013/2014,Departure
Tiago Ilori,Liverpool,Centre-Back,0.0,2013/2014,Departure
Suso,Liverpool,Right Winger,0.0,2013/2014,Departure
Oussama Assaidi,Liverpool,Left Winger,0.0,2013/2014,Departure
Danny Ward,Liverpool,Goalkeeper,0.0,2014/2015,Departure
Jordon Ibe,Liverpool,Right Winger,0.0,2014/2015,Departure
Rafa Páez,Liverpool,Centre-Back,0.0,2014/2015,Departure
Divock Origi,Liverpool,Centre-Forward,0.0,2014/2015,Departure
Rafa Páez,Liverpool,Centre-Back,0.0,2014/2015,Departure
Andre Wisdom,Liverpool,Right-Back,0.0,2014/2015,Departure
Sebastián Coates,Liverpool,Centre-Back,0.0,2014/2015,Departure
Tiago Ilori,Liverpool,Centre-Back,0.0,2014/2015,Departure
Luis Alberto,Liverpool,Central Midfield,0.0,2014/2015,Departure
Iago Aspas,Liverpool,Centre-Forward,0.0,2014/2015,Departure
Victor Moses,Liverpool,Right Midfield,0.0,2013/2014,Departure
Jamie Carragher,Liverpool,Centre-Back,0.0,2013/2014,Departure
Krisztián Adorján,Liverpool,Attacking Midfield,0.0,2013/2014,Departure
Craig Roddan,Liverpool,Central Midfield,0.0,2013/2014,Departure
Craig Roddan,Liverpool,Central Midfield,0.0,2013/2014,Departure
Jack Robinson,Liverpool,Centre-Back,0.0,2013/2014,Departure
Jordon Ibe,Liverpool,Right Winger,0.0,2013/2014,Departure
Andre Wisdom,Liverpool,Right-Back,0.0,2013/2014,Departure
Sebastián Coates,Liverpool,Centre-Back,0.0,2013/2014,Departure
Todd Kane,Chelsea,Right-Back,0.0,2012/2013,Arrival
Todd Kane,Chelsea,Right-Back,0.0,2012/2013,Arrival
Patrick Bamford,Chelsea,Centre-Forward,0.0,2012/2013,Arrival
Mario Pasalic,Chelsea,Central Midfield,0.0,2014/2015,Departure
Kenneth Omeruo,Chelsea,Centre-Back,0.0,2014/2015,Departure
Todd Kane,Chelsea,Right-Back,0.0,2014/2015,Departure
Todd Kane,Chelsea,Right-Back,0.0,2014/2015,Departure
Cristian Cuevas,Chelsea,Left Winger,0.0,2014/2015,Departure
Nathan Aké,Chelsea,Centre-Back,0.0,2014/2015,Departure
Patrick Bamford,Chelsea,Centre-Forward,0.0,2014/2015,Departure
Ulises Dávila,Chelsea,Attacking Midfield,0.0,2014/2015,Departure
Ulises Dávila,Chelsea,Attacking Midfield,0.0,2014/2015,Departure
Gaël Kakuta,Chelsea,Attacking Midfield,0.0,2014/2015,Departure
Tomas Kalas,Chelsea,Centre-Back,0.0,2014/2015,Departure
Stipe Perica,Chelsea,Centre-Forward,0.0,2014/2015,Departure
Marko Marin,Chelsea,Attacking Midfield,0.0,2014/2015,Departure
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.0,2014/2015,Departure
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.0,2014/2015,Departure
Wallace Oliveira,Chelsea,Right-Back,0.0,2014/2015,Departure
Josh McEachran,Chelsea,Central Midfield,0.0,2014/2015,Departure
Marko Marin,Chelsea,Attacking Midfield,0.0,2014/2015,Departure
Christian Atsu,Chelsea,Left Winger,0.0,2014/2015,Departure
Ryan Bertrand,Chelsea,Left-Back,0.0,2014/2015,Departure
Victor Moses,Chelsea,Right Midfield,0.0,2014/2015,Departure
Stipe Perica,Chelsea,Centre-Forward,0.0,2014/2015,Departure
Matej Delac,Chelsea,Goalkeeper,0.0,2014/2015,Departure
Samuel Eto'o,Chelsea,Centre-Forward,0.0,2013/2014,Arrival
Christian Atsu,Chelsea,Left Winger,0.0,2015/2016,Departure
Wallace Oliveira,Chelsea,Right-Back,0.0,2015/2016,Departure
Nathan Aké,Chelsea,Centre-Back,0.0,2015/2016,Departure
Wallace Oliveira,Chelsea,Right-Back,0.0,2015/2016,Departure
Marko Marin,Chelsea,Attacking Midfield,0.0,2015/2016,Departure
Nathan,Chelsea,Attacking Midfield,0.0,2015/2016,Departure
Lucas Piazón,Chelsea,Attacking Midfield,0.0,2015/2016,Departure
Mario Pasalic,Chelsea,Central Midfield,0.0,2015/2016,Departure
Patrick Bamford,Chelsea,Centre-Forward,0.0,2015/2016,Departure
Patrick Bamford,Chelsea,Centre-Forward,0.0,2015/2016,Departure
Christian Atsu,Chelsea,Left Winger,0.0,2015/2016,Departure
Matej Delac,Chelsea,Goalkeeper,0.0,2014/2015,Departure
Marco van Ginkel,Chelsea,Central Midfield,0.0,2015/2016,Departure
Marco van Ginkel,Chelsea,Central Midfield,0.0,2015/2016,Departure
Victor Moses,Chelsea,Right Midfield,0.0,2015/2016,Departure
Ulises Dávila,Chelsea,Attacking Midfield,0.0,2015/2016,Departure
Didier Drogba,Chelsea,Centre-Forward,0.0,2015/2016,Departure
Hilário,Chelsea,Goalkeeper,0.0,2014/2015,Departure
Lewis Baker,Chelsea,Central Midfield,0.0,2014/2015,Departure
Jamal Blackman,Chelsea,Goalkeeper,0.0,2014/2015,Departure
Lewis Baker,Chelsea,Central Midfield,0.0,2014/2015,Departure
Fernando Torres,Chelsea,Centre-Forward,0.0,2014/2015,Departure
Mohamed Salah,Chelsea,Right Winger,0.0,2014/2015,Departure
Jhon Pírez,Chelsea,Centre-Forward,0.0,2014/2015,Departure
Conor Clifford,Chelsea,Central Midfield,0.0,2012/2013,Departure
Lucas Piazón,Chelsea,Attacking Midfield,0.0,2013/2014,Departure
Christian Atsu,Chelsea,Left Winger,0.0,2013/2014,Departure
Ryan Bertrand,Chelsea,Left-Back,0.0,2013/2014,Departure
Marko Marin,Chelsea,Attacking Midfield,0.0,2013/2014,Departure
Kurt Zouma,Chelsea,Centre-Back,0.0,2013/2014,Departure
Lamisha Musonda,Chelsea,Central Midfield,0.0,2013/2014,Departure
Amin Affane,Chelsea,Attacking Midfield,0.0,2013/2014,Departure
Ross Turnbull,Chelsea,Goalkeeper,0.0,2013/2014,Departure
Florent Malouda,Chelsea,Left Winger,0.0,2013/2014,Departure
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.0,2012/2013,Departure
Sam Hutchinson,Chelsea,Defensive Midfield,0.0,2014/2015,Departure
Todd Kane,Chelsea,Right-Back,0.0,2012/2013,Departure
Todd Kane,Chelsea,Right-Back,0.0,2012/2013,Departure
Todd Kane,Chelsea,Right-Back,0.0,2012/2013,Departure
Patrick Bamford,Chelsea,Centre-Forward,0.0,2012/2013,Departure
Conor Clifford,Chelsea,Central Midfield,0.0,2012/2013,Departure
Conor Clifford,Chelsea,Central Midfield,0.0,2012/2013,Departure
Anjur Osmanovic,Chelsea,Central Midfield,0.0,2012/2013,Departure
Sam Hutchinson,Chelsea,Defensive Midfield,0.0,2012/2013,Departure
Amin Affane,Chelsea,Attacking Midfield,0.0,2012/2013,Departure
Josh McEachran,Chelsea,Central Midfield,0.0,2013/2014,Departure
Josh McEachran,Chelsea,Central Midfield,0.0,2013/2014,Departure
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.0,2013/2014,Departure
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.0,2013/2014,Departure
Mark Schwarzer,Chelsea,Goalkeeper,0.0,2014/2015,Departure
Frank Lampard,Chelsea,Central Midfield,0.0,2014/2015,Departure
Ashley Cole,Chelsea,Left-Back,0.0,2014/2015,Departure
Samuel Eto'o,Chelsea,Centre-Forward,0.0,2014/2015,Departure
Paulo Ferreira,Chelsea,Right-Back,0.0,2013/2014,Departure
Yossi Benayoun,Chelsea,Right Winger,0.0,2013/2014,Departure
Patrick Bamford,Chelsea,Centre-Forward,0.0,2013/2014,Departure
Bertrand Traoré,Chelsea,Right Winger,0.0,2013/2014,Departure
